StateFIPS,State,CountyFIPS,County,Year,Value,Data Comment
12,Florida,12001,Alachua,2023,624,
12,Florida,12003,Baker,2023,46,
12,Florida,12005,Bay,2023,97,
12,Florida,12009,Brevard,2023,214,
12,Florida,12011,Broward,2023,"1,934",
12,Florida,12013,Calhoun,2023,1,
12,Florida,12015,Charlotte,2023,98,
12,Florida,12017,Citrus,2023,3,
12,Florida,12019,Clay,2023,34,
12,Florida,12021,Collier,2023,"1,743",
12,Florida,12023,Columbia,2023,4,
12,Florida,12027,DeSoto,2023,1,
12,Florida,12031,Duval,2023,749,
12,Florida,12033,Escambia,2023,39,
12,Florida,12035,Flagler,2023,2,
12,Florida,12039,Gadsden,2023,86,
12,Florida,12051,Hendry,2023,3,
12,Florida,12053,Hernando,2023,5,
12,Florida,12057,Hillsborough,2023,929,
12,Florida,12061,Indian River,2023,15,
12,Florida,12063,Jackson,2023,2,
12,Florida,12065,Jefferson,2023,11,
12,Florida,12069,Lake,2023,144,
12,Florida,12071,Lee,2023,"1,292",
12,Florida,12073,Leon,2023,980,
12,Florida,12075,Levy,2023,8,
12,Florida,12079,Madison,2023,3,
12,Florida,12081,Manatee,2023,229,
12,Florida,12083,Marion,2023,225,
12,Florida,12085,Martin,2023,18,
12,Florida,12086,Miami-Dade,2023,"1,597",
12,Florida,12087,Monroe,2023,8,
12,Florida,12089,Nassau,2023,82,
12,Florida,12091,Okaloosa,2023,10,
12,Florida,12095,Orange,2023,"1,015",
12,Florida,12097,Osceola,2023,66,
12,Florida,12099,Palm Beach,2023,"1,730",
12,Florida,12101,Pasco,2023,153,
12,Florida,12103,Pinellas,2023,537,
12,Florida,12105,Polk,2023,108,
12,Florida,12107,Putnam,2023,9,
12,Florida,12115,Sarasota,2023,385,
12,Florida,12117,Seminole,2023,185,
12,Florida,12109,St. Johns,2023,90,
12,Florida,12111,St. Lucie,2023,11,
12,Florida,12119,Sumter,2023,13,
12,Florida,12127,Volusia,2023,157,
12,Florida,12129,Wakulla,2023,31,
12,Florida,12133,Washington,2023,1,